Aston Villa,tied,Everton,10/12/1994
Blackburn,beat,Southampton,10/12/1994
Leeds,tied,West Ham,10/12/1994
Newcastle,beat,Leicester,10/12/1994
Norwich,beat,Chelsea,10/12/1994
Nott'm Forest,beat,Ipswich,10/12/1994
Man United,beat,QPR,10/12/1994
Tottenham,beat,Sheffield Weds,10/12/1994
Wimbledon,beat,Coventry,10/12/1994
Liverpool,tied,Crystal Palace,11/12/1994
Arsenal,beat,Man City,12/12/1994
Ipswich,tied,Wimbledon,16/12/1994
Leeds,beat,Arsenal,17/12/1994
Coventry,tied,Newcastle,17/12/1994
Norwich,beat,Crystal Palace,17/12/1994
Everton,tied,Tottenham,17/12/1994
Leicester,tied,Blackburn,17/12/1994
Nott'm Forest,beat,Man United,17/12/1994
QPR,beat,Sheffield Weds,17/12/1994
West Ham,beat,Man City,17/12/1994
Chelsea,tied,Liverpool,18/12/1994
Southampton,beat,Aston Villa,19/12/1994
Arsenal,tied,Aston Villa,26/12/1994
Man United,beat,Chelsea,26/12/1994
Coventry,tied,Nott'm Forest,26/12/1994
Crystal Palace,tied,QPR,26/12/1994
Sheffield Weds,beat,Everton,26/12/1994
Leeds,tied,Newcastle,26/12/1994
Liverpool,beat,Leicester,26/12/1994
Blackburn,beat,Man City,26/12/1994
Tottenham,beat,Norwich,26/12/1994
Wimbledon,beat,Southampton,26/12/1994
West Ham,tied,Ipswich,26/12/1994
Nott'm Forest,beat,Norwich,27/12/1994
Tottenham,tied,Crystal Palace,27/12/1994
Aston Villa,beat,Chelsea,28/12/1994
Arsenal,beat,Ipswich,28/12/1994
Liverpool,beat,Man City,28/12/1994
Man United,tied,Leicester,28/12/1994
QPR,tied,Southampton,28/12/1994
Sheffield Weds,beat,Coventry,28/12/1994
Wimbledon,beat,West Ham,28/12/1994
QPR,beat,Arsenal,31/12/1994
Chelsea,tied,Wimbledon,31/12/1994
Tottenham,beat,Coventry,31/12/1994
Blackburn,beat,Crystal Palace,31/12/1994
Everton,beat,Ipswich,31/12/1994
Liverpool,beat,Leeds,31/12/1994
Sheffield Weds,beat,Leicester,31/12/1994
Man City,tied,Aston Villa,31/12/1994
Norwich,beat,Newcastle,31/12/1994
Southampton,tied,Man United,31/12/1994
West Ham,beat,Nott'm Forest,31/12/1994
Aston Villa,tied,Leeds,02/01/1995
Blackburn,beat,West Ham,02/01/1995
Ipswich,beat,Leicester,02/01/1995
Liverpool,beat,Norwich,02/01/1995
Newcastle,tied,Man City,02/01/1995
Nott'm Forest,beat,Crystal Palace,02/01/1995
Sheffield Weds,tied,Southampton,02/01/1995
Tottenham,beat,Arsenal,02/01/1995
Wimbledon,beat,Everton,02/01/1995
Man United,beat,Coventry,03/01/1995
Arsenal,tied,Everton,14/01/1995
Aston Villa,beat,QPR,14/01/1995
Blackburn,beat,Nott'm Forest,14/01/1995
Chelsea,tied,Sheffield Weds,14/01/1995
Crystal Palace,beat,Leicester,14/01/1995
Leeds,tied,Southampton,14/01/1995
Ipswich,beat,Liverpool,14/01/1995
Man City,tied,Coventry,14/01/1995
Wimbledon,beat,Norwich,14/01/1995
Tottenham,beat,West Ham,14/01/1995
Newcastle,tied,Man United,15/01/1995
Arsenal,beat,Coventry,21/01/1995
Everton,beat,Crystal Palace,21/01/1995
Ipswich,tied,Chelsea,21/01/1995
Aston Villa,beat,Nott'm Forest,21/01/1995
Sheffield Weds,tied,Newcastle,21/01/1995
Man United,beat,Blackburn,22/01/1995
Sheffield Weds,beat,West Ham,23/01/1995
Arsenal,tied,Southampton,24/01/1995
Leeds,beat,QPR,24/01/1995
Liverpool,tied,Everton,24/01/1995
